probe,gene,log2FC,pval,adj_pval,neglog10_pval,sig
1769997_at,SEO1,1.5206235911251,9.855704173458402e-05,0.002558269244834998,2.5920537501651526,upregulated
1779679_s_at,FLO1 /// FLO5 /// FLO9,0.542238658431211,0.0015203544266316365,0.010112253910061183,1.9951520341611715,not significant
1772549_at,GDH3,0.8461059238074486,0.0008131356058618779,0.00693131505527192,2.1591843603281498,not significant
1776156_at,BDH2,-0.26114871584210647,0.045340713126487325,0.1120242625019791,0.9506879065300737,not significant
1777350_at,BDH1,0.3611337907428766,0.005345552085160394,0.023717496218689724,1.6249311599873906,not significant
1779249_at,ECM1,-1.3306690248519912,0.0012388766492330448,0.008936266681728524,2.0488438792081434,downregulated
1771966_at,CNE1,0.4335232718179742,0.00017026188483484952,0.0032336413695313896,2.490308147654763,not significant
1777146_at,GPB2,-0.0674075176716184,0.6037273168928319,0.7304619263734352,0.13640241572810213,not significant
1778295_at,PEX22,-0.019389785254317313,0.8291285026591098,0.8935617630235455,0.04887542366950097,not significant
1772915_at,ACS1,0.3759918702300005,0.05410371750833463,0.1283363197158847,0.8916504190731938,not significant
1771724_at,FLC2,0.9978330327245785,0.00019311298914475396,0.0034203221156788835,2.465932991465996,not significant
1776233_at,OAF1,1.090872090874937,0.0003036744786928178,0.004200702155892548,2.376678110330129,upregulated
1776590_at,GEM1,-0.449920190219359,0.14766142974777716,0.271474445538982,0.5662710452049258,not significant
1778536_at,SPC72,-0.27281678940211807,0.0408157982507443,0.10353645387282584,0.9849067137006683,not significant
1770632_at,GCV3,-0.11418092635195103,0.16190955866360734,0.29031677792014327,0.5371278647967093,not significant
1777795_at,PTA1,-0.1695185781769278,0.2220135778628417,0.3670445353835301,0.43528123738859326,not significant
1770706_at,ERV46,-0.2092313548731985,0.013498650453637129,0.04578313226484995,1.339294498275595,not significant
1779111_at,CDC24,-0.12760892302040308,0.16128225873956237,0.2895978513811925,0.5382046646321884,not significant
1776614_at,CLN3,-0.6422394650857715,4.7313740451270675e-06,0.0010868063545552472,2.96384783092749,not significant
1779425_at,CYC3,0.439713814245362,0.0004002062607440809,0.004803965486263791,2.3184001214146415,not significant
1770962_at,CDC19,-0.04190013246021723,0.17604817665568853,0.3086067491968823,0.5105945801947397,not significant
1773564_at,RBG1,-1.0617315818129864,0.0012573188967084626,0.009003919333702542,2.045568404507234,downregulated
1771464_at,FUN12,-0.7299916629490325,0.0003011809607176483,0.004193879799219166,2.37738402100561,not significant
1777576_at,MTW1,1.201079255042341,0.025626758809678154,0.07292845114152709,1.137103009909249,not significant
1769551_at,FUN19,0.094084937578674,0.069681283155925,0.15518179383084338,0.80915923219255,not significant
1778045_at,POP5,0.49355377968792036,0.0315065127089171,0.08539265150869198,1.0685795010503427,not significant
1776134_at,PRP45,0.22078569079595958,0.017825797327124058,0.055800719905703726,1.2533601980327116,not significant
1772410_at,GIP4,-0.20193198700541046,0.16704102706123294,0.2973003817141944,0.5268045331890687,not significant
1777102_at,SNC1,0.24798031736606788,0.03268350344242767,0.08762642924898173,1.0573648853176232,not significant
1771871_at,MYO4,0.23739059339479468,0.008138305440377087,0.03200283125897349,1.4948115983751982,not significant
1772848_at,FRT2,0.7573398528249702,0.021781965446766836,0.06480623969568962,1.1883831772320843,not significant
1773204_at,SAW1,0.3728571544829691,0.0044597465233100495,0.02097815560711866,1.6782326974990889,not significant
1772226_at,DRS2,0.505964179622449,0.02558196894704735,0.07285894100946923,1.1375171454340187,not significant
1779169_at,MAK16,-1.7861349856591318,7.183313240736831e-05,0.0022300922470105708,2.6516771721361136,downregulated
1779398_at,LTE1,0.2851905151276562,0.0342377582584034,0.09074535883043396,1.0421755777064616,not significant
1772412_at,PMT2,0.10189496615494799,0.2804551424024104,0.43148159878551884,0.3650377207281763,not significant
1774289_at,FUN26,0.6221744648415076,0.01629940060670959,0.0520806810761524,1.2833233449913106,not significant
1778488_at,CCR4,-0.7786915881901681,0.0055612533011356585,0.024416784280759534,1.6123115337196516,not significant
1774643_at,ATS1,0.022982078517971797,0.7556480917172477,0.843923257141857,0.07369704450606426,not significant
1779662_at,FUN30,-1.0690027126045427,0.00023293440815471943,0.0037655432134833934,2.424172364057939,downregulated
1770818_at,PSK1,0.4002919706459963,0.0027404843770703264,0.014877304159276964,1.8274757579581535,not significant
1779247_at,TPD3,-0.05629959295255279,0.14285491596278277,0.26486959707262675,0.576967889122022,not significant
1772386_at,NTG1,0.4570767484136902,0.004203175436319879,0.02007193483740763,1.6974107616077658,not significant
1776338_at,SYN8,-0.2855565792980658,0.00400416759562077,0.019336077545269014,1.7136316209053863,not significant
1769422_at,DEP1,-0.12954808752844427,0.37879639704726126,0.532889679059278,0.27336269103889665,not significant
1773888_at,CYS3,-0.11235976048112195,0.32341689981939076,0.47696354672419733,0.32151481186448716,not significant
1770435_at,SWC3,0.06606550292495113,0.6504079784576756,0.7664896353483748,0.11549371340117999,not significant
1770898_at,MDM10,-0.5749948351536234,0.0014066930050727561,0.009619737897018197,2.0168367607511057,not significant
1779988_at,SPO7,-0.29025919307242193,0.03227194881735293,0.08688995211775066,1.0610304421027215,not significant
1775227_at,FUN14,-0.23906578180697488,0.009965972223375778,0.03672059011067205,1.43509034817479,not significant
1771788_at,ERP2,-0.7349846995787898,0.0010554901570291777,0.008015563888821997,2.0960659199486944,not significant
1771860_at,SSA1,0.24622946167689166,0.001593751791029368,0.010385521510058995,1.9835716904380587,not significant
1769785_at,EFB1,0.06632256099423527,0.14632072883225394,0.26959921171452894,0.5692813819754816,not significant
1772089_at,VPS8,0.7041415144483495,0.0023785815443211514,0.013578087329262464,1.86716140243031,not significant
1770854_at,TFC3,0.42350422008325556,0.006512059152184282,0.02740230358685785,1.5622129264858615,not significant
1769591_at,NUP60,-0.034535791447945226,0.7066957072791209,0.8079902374080595,0.09259388658361034,not significant
1771566_at,ERP1,-0.09508303706026164,0.3827111143947827,0.5370147942592891,0.2700137497256399,not significant
1778119_at,SWD1,0.7732466881690679,0.03756789652966698,0.09723874307820955,1.0121606635445162,not significant
1773412_at,RFA1,-0.26949433094336994,0.02539698390409416,0.0725021525872364,1.1396490990444477,not significant
1771711_at,SEN34,-0.24297907119928455,0.09642115200908684,0.19810089171289236,0.7031135695643455,not significant
1770622_at,BUD14,-0.18492571728973797,0.2694277188459751,0.4195363510328891,0.3772304034430637,not significant
1774134_at,ADE1,-0.2574084815115949,0.1926538591577484,0.33128581791909906,0.47979715551952057,not significant
1776525_at,KIN3,-1.538356472169487,1.082082896883414e-07,0.00022674778920989312,3.6444569386168184,downregulated
1780029_at,CDC15,0.6285099048909365,0.00279330262944017,0.015037049819961663,1.82283736138996,not significant
1772576_x_at,PAU7,0.48469007399283,0.13807756877398872,0.25811010461206785,0.588194993164916,not significant
1771519_at,UIP3,-0.009113553355628386,0.8760676141624545,0.923742463099894,0.034449092031466906,not significant
1771533_at,PRM9,-1.0439558257464256,0.007212322098602719,0.029354285248987158,1.532328489846015,downregulated
1774167_at,MST28,-0.9058070360127148,0.010366446322883695,0.03782489561394712,1.4222222618335083,not significant
1769485_s_at,MST27 /// MST28,-0.5029099813438804,0.004472240262816616,0.021020491007337626,1.6773571437175396,not significant
1778223_at,YAT1,0.9422003043059122,0.0014888172327345553,0.010006023812621907,1.9997384679049395,not significant
1776863_at,SWH1,0.2523339474342211,0.06682615929042694,0.1503554187205653,0.8228809155645689,not significant
1778830_at,FLO1,0.6551878161771824,0.03464413368706482,0.09162252810581331,1.037997729070995,not significant
1777286_s_at,PHO11 /// PHO12,0.8544649755202756,0.0063149933633735444,0.02683135593893705,1.5713573794369584,not significant
1778878_s_at,IMD1 /// IMD2,-0.42548887275818786,0.025140811604428204,0.07197767597935326,1.1428021799898158,not significant
1779889_s_at,IMD2 /// IMD3,-0.1968132447284191,0.02451003156987294,0.07076502641890924,1.1501813268580299,not significant
1778754_s_at,YRF1-1 /// YRF1-2 /// YRF1-3 /// YRF1-4 /// YRF1-5 /// YRF1-6 /// YRF1-7 /// YRF1-8,0.4680987409129078,0.003483621740827342,0.017543326444129582,1.7558880552482958,not significant
1774766_s_at,YRF1-1 /// YRF1-2 /// YRF1-3 /// YRF1-4 /// YRF1-5 /// YRF1-6 /// YRF1-7 /// YRF1-8,0.39892452994986133,0.5678326389561178,0.6988709402536835,0.155603017545711,not significant
